index,name,artist,release_date,length,popularity,danceability
92,Sunshine Of Your Love,Cream,2004,4.173333333,71,0.683
93,Give It Away,Red Hot Chili Peppers,1991,4.7151,73,0.666
94,Take Me Out,Franz Ferdinand,2004,3.950433333,74,0.278
95,Sweet Home Alabama,Lynyrd Skynyrd,1974,4.73,82,0.596
96,Highway to Hell,AC/DC,1979,3.473333333,84,0.574
97,L.A. Woman,The Doors,1971,7.852666667,67,0.354
98,American Idiot,Green Day,2004,2.9391,79,0.38
99,Black Hole Sun,Soundgarden,1994,5.309766667,76,0.35
100,Maggie May,Rod Stewart,1971,5.837766667,72,0.605
101,It's The End Of The World As We Know It (And I Feel Fine),R.E.M.,1987,4.11555,69,0.381
102,Once in a Lifetime - 2005 Remaster,Talking Heads,1980,4.331766667,71,0.644
103,Strawberry Fields Forever - Remastered 2009,The Beatles,1967,4.122,70,0.39
104,Riders on the Storm,The Doors,1971,7.245333333,74,0.549
105,Thunderstruck,AC/DC,1990,4.881333333,82,0.502
106,Wonderwall - Remastered,Oasis,1995,4.3122,40,0.372
107,Good Riddance (Time of Your Life),Green Day,1997,2.557766667,75,0.475
108,The Boys Are Back In Town,Thin Lizzy,1976,4.445333333,74,0.445
109,Interstate Love Song - 2019 Remaster,Stone Temple Pilots,1994,3.24755,72,0.215
110,Start Me Up - Remastered,The Rolling Stones,1981,3.5511,76,0.631
111,Blitzkrieg Bop - 2016 Remaster,Ramones,1976,2.2411,71,0.385
112,Fight For Your Right,Beastie Boys,1986,3.47755,69,0.503
113,The One I Love - Remastered,R.E.M.,1987,3.296666667,64,0.488
114,Walk On the Wild Side,Lou Reed,1972,4.236216667,75,0.575
115,Under Pressure - (Tribute to Queen & David Bowie),Studio Allstars,2009,3.786883333,0,0.819
116,Yellow,Coldplay,2000,4.446216667,84,0.429
117,Ramble On - 1990 Remaster,Led Zeppelin,1969,4.388883333,70,0.468
118,We Are The Champions - Remastered 2011,Queen,1977,2.986666667,64,0.268
119,Go Your Own Way - 2004 Remaster,Fleetwood Mac,1977,3.726883333,75,0.586
120,Numb,Linkin Park,2003,3.0931,82,0.496
121,Blue Monday - 2016 Remaster,New Order,2005,7.513333333,69,0.793
122,While My Guitar Gently Weeps - Third Version / Take 27,The Beatles,2018,3.288433333,31,0.54
123,I Love Rock 'N Roll,Joan Jett & The Blackhearts,1981,2.91955,73,0.535
124,White Room,Cream,1968,4.972216667,72,0.553
125,How You Remind Me,Nickelback,2001,3.730666667,78,0.446
126,Space Oddity - 2015 Remaster,David Bowie,1969,5.31355,73,0.299
127,The Weight - Remastered,The Band,1968,4.574883333,73,0.63
128,Sledgehammer - 2012 Remaster,Peter Gabriel,1986,5.199766667,57,0.641
129,Mysterious Ways,U2,1991,4.059766667,61,0.674
130,Bring Me To Life,Evanescence,2003,3.93155,80,0.331
131,You Really Got Me - Mono Mix,The Kinks,1964,2.23755,71,0.573
132,Been Caught Stealing,Jane's Addiction,1990,3.578433333,58,0.639
133,Plush - 2017 Remaster,Stone Temple Pilots,1992,5.232433333,62,0.426
134,Rock the Casbah - Remastered,The Clash,1982,3.7071,72,0.796
